ticker,name,sector,price_12,price_11,price_10,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,current_price
NWSA,NWSA,Other,28.08,28.47,27.0,27.06,28.08,29.73,29.09,28.85,28.95,25.99,25.52,26.19,26.19
NXPI,NXPI,Other,204.73,216.53,190.0,181.84,192.81,221.21,209.92,232.66,224.91,210.39,199.49,221.28,221.28
O,O,Other,54.49,57.55,57.15,57.17,56.58,57.8,56.57,57.74,60.46,58.2,57.43,57.31,57.31
ODFL,ODFL,Other,182.05,172.28,167.09,150.56,160.0,168.45,141.85,149.9,139.24,137.51,139.67,159.19,159.19
OKE,OKE,Other,97.63,96.76,99.5,80.93,82.51,80.99,78.99,74.62,72.98,65.36,73.68,74.34,74.34
OMC,OMC,Other,87.76,80.71,79.77,75.75,70.49,73.83,71.11,76.93,77.45,73.03,72.01,81.32,81.32
ON,ON,Other,50.26,44.91,40.2,39.6,42.54,53.6,56.82,48.94,48.35,50.46,50.43,56.7,56.7
ORCL,Oracle Corp,Technology,168.6,162.02,141.94,145.49,166.57,218.96,244.42,225.3,289.01,257.85,200.94,195.71,195.71
ORLY,ORLY,Other,87.74,91.73,95.45,93.85,91.38,90.5,99.12,103.19,105.68,91.7,101.24,90.34,90.34
OTIS,OTIS,Other,94.55,100.73,104.06,96.39,94.21,100.43,84.93,85.77,92.36,90.17,88.15,88.34,88.34
OXY,OXY,Energy,46.37,46.45,49.19,40.44,41.44,42.86,43.41,48.05,47.72,40.92,42.34,42.38,42.38
PANW,Palo Alto Networks,Technology,182.79,183.68,171.31,186.27,194.86,197.58,172.88,190.52,206.8,219.23,187.73,179.37,179.37
PAYC,PAYC,Other,205.24,220.21,220.9,227.1,259.54,233.8,226.44,220.0,199.23,184.85,161.81,152.4,152.4
PAYX,PAYX,Other,148.62,153.37,154.59,146.61,157.5,147.42,139.34,135.96,124.01,115.11,110.54,108.6,108.6
PCAR,PCAR,Other,109.13,105.02,98.29,89.78,91.77,98.2,96.48,98.86,97.71,97.46,103.97,111.56,111.56
PCG,PCG,Other,15.16,16.43,17.27,16.67,16.65,14.13,14.12,15.32,15.66,15.91,15.84,16.27,16.27
PEG,PEG,Other,83.47,81.76,83.26,78.66,81.9,82.87,88.97,81.81,82.55,81.36,81.57,80.99,80.99
PEP,PepsiCo Inc,Consumer,150.27,155.99,149.67,133.55,130.91,135.26,139.28,150.28,143.14,143.6,149.51,142.23,142.23
PFE,Pfizer Inc,Healthcare,26.2,26.25,24.54,23.93,23.46,25.04,23.49,24.98,27.21,24.66,25.27,25.18,25.18
PFG,PFG,Other,80.97,88.64,85.15,74.07,76.97,80.83,75.53,79.94,83.04,83.02,84.45,89.42,89.42
PG,Procter & Gamble,Consumer,168.76,175.59,170.56,159.98,167.78,161.22,150.65,157.99,153.18,148.02,147.44,141.79,141.79
PGR,PGR,Other,248.92,285.08,284.29,277.66,288.74,264.3,241.09,245.86,246.46,203.7,227.82,212.12,212.12
PH,PH,Other,695.77,650.56,609.86,610.12,660.3,703.28,712.13,749.93,755.22,771.88,856.12,893.98,893.98
PHM,PHM,Other,109.15,102.03,103.04,101.89,97.55,109.94,116.75,132.09,134.44,118.76,127.18,119.07,119.07
PKG,PKG,Other,211.28,209.41,199.93,183.37,192.26,202.75,191.41,216.45,214.85,195.59,203.24,211.12,211.12
PLD,PLD,Other,117.84,123.54,111.45,103.08,108.75,106.58,104.91,111.3,116.48,124.22,128.93,129.05,129.05
PLTR,Palantir Technologies,Technology,83.74,83.42,84.68,116.2,132.04,130.68,154.27,157.09,184.95,207.18,167.49,167.86,167.86
PM,PM,Other,130.39,158.79,158.09,170.05,182.75,177.53,162.96,167.4,160.86,144.6,156.15,160.3,160.3
PNC,PNC,Other,197.64,189.49,174.64,160.99,173.94,192.52,185.88,205.42,198.44,182.74,192.4,211.46,211.46
PNR,PNR,Other,102.63,91.74,88.04,90.74,98.51,105.05,100.62,106.29,110.5,106.84,105.06,105.47,105.47
PNW,PNW,Other,86.82,94.18,95.28,93.41,90.84,90.84,90.68,88.8,88.18,89.45,89.32,88.14,88.14
PODD,PODD,Other,278.9,272.64,263.18,250.25,325.0,299.99,284.91,344.92,305.98,318.77,310.83,282.92,282.92
POOL,POOL,Other,337.5,344.18,318.13,296.35,300.0,304.18,308.67,305.07,309.18,259.48,243.37,229.71,229.71
PPG,PPG,Other,111.99,111.72,108.95,108.77,110.35,116.41,104.44,109.59,104.09,94.96,99.86,104.35,104.35
PPL,PPL,Other,33.81,35.67,36.06,36.08,34.72,33.99,35.66,36.42,36.59,36.41,35.8,35.11,35.11
PRU,PRU,Other,118.89,113.48,111.69,101.73,103.6,109.0,100.71,107.41,102.99,104.63,108.22,113.87,113.87
PSA,PSA,Other,295.91,311.04,298.86,300.0,309.77,298.09,278.89,288.18,290.68,277.62,271.15,258.44,258.44
PSKY,PSKY,Other,10.73,11.31,11.73,11.65,11.94,13.16,13.01,14.46,18.89,15.42,15.71,13.18,13.18
PSX,PSX,Energy,117.86,124.99,124.35,103.46,114.28,123.15,119.6,133.84,134.59,137.92,139.76,130.57,130.57
PTC,PTC,Other,189.88,160.56,156.2,156.34,166.75,173.07,212.11,212.64,202.42,196.36,174.88,170.1,170.1
PWR,PWR,Other,301.82,250.91,257.9,321.93,345.53,372.29,395.17,374.68,420.65,450.82,452.23,439.68,439.68
PYPL,PayPal Holdings,Technology,89.51,69.75,66.1,65.41,70.93,75.29,67.11,69.25,66.66,68.34,62.58,58.14,58.14
Q,Q,Other,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,97.0,77.6,84.98,84.98
QCOM,Qualcomm Inc,Technology,170.24,153.62,153.05,135.21,146.63,159.4,148.19,158.78,166.49,180.72,168.04,172.98,172.98
RCL,RCL,Other,260.86,241.12,208.12,220.77,261.93,315.1,314.25,354.08,316.02,277.8,266.6,283.26,283.26
REG,REG,Other,71.86,77.74,73.57,72.42,71.95,71.11,70.48,72.33,72.09,68.91,70.84,67.96,67.96
REGN,REGN,Other,666.85,684.87,617.0,590.0,490.81,534.91,558.87,577.9,599.94,642.25,750.11,776.31,776.31
RF,RF,Other,24.05,23.14,21.57,20.51,21.11,24.17,24.89,26.89,26.21,24.24,25.33,27.56,27.56
RJF,RJF,Other,165.98,150.4,138.1,137.71,145.42,154.64,163.03,168.32,165.9,158.88,155.83,163.6,163.6
RL,RL,Other,246.0,262.36,228.92,224.51,275.93,272.1,293.77,311.02,317.42,314.95,365.88,362.53,362.53
RMD,RMD,Other,240.55,233.1,222.3,236.49,244.03,256.26,279.2,270.99,270.85,248.95,248.38,244.81,244.81
ROK,ROK,Other,271.05,278.63,258.74,249.18,317.28,338.61,344.5,337.84,349.32,364.54,389.96,398.55,398.55
